idx,moltype,tr_avg_f1,vl_avg_f1,mem_score,mem_score2
36794,tmRNA,0.807411824351145,0.434516976185567,0.372894848165578,0.3002546104127932
36796,tmRNA,0.8572177350943396,0.5204232109016393,0.3367945241927003,0.2444719178618863
36800,tmRNA,0.84079978,0.5867145895121951,0.25408519048780487,0.17799133648975451
36804,tmRNA,0.7807772971428572,0.6249202610784313,0.1558570360644258,0.11087522714462195
36808,tmRNA,0.6318900999236641,0.43225465804123714,0.19963544188242693,0.18760177164638303
36813,tmRNA,0.9505767053921568,0.7241081616666666,0.2264685437254902,0.13523054288012232
36821,tmRNA,0.8664648633333333,0.5110373045945946,0.35542755873873866,0.25802323002756605
36822,tmRNA,0.8859384162809917,0.6215124575700934,0.26442595871089825,0.17541265410219914
36823,tmRNA,0.858508778907563,0.6567630225688074,0.2017457563387557,0.13314162920618552
36830,tmRNA,0.916609904661017,0.6837704664545454,0.23283943820647157,0.1454900612434832
36831,tmRNA,0.9378747344537814,0.7759831340366973,0.16189160041708417,0.09446034201171774
36839,tmRNA,0.841821873553719,0.5163001554205607,0.3255217181331582,0.23968517643367304
36842,tmRNA,0.9605369747222222,0.8204126817499999,0.1401242929722223,0.07867953620305372
36846,tmRNA,0.877495795982906,0.5776153671171171,0.2998804288657888,0.20608764228494567
36851,tmRNA,0.9409229995081967,0.7677048193396226,0.17321818016857404,0.10137853209330305
36853,tmRNA,0.8858550854545455,0.6656991105607477,0.2201559748937978,0.1418938348780875
36855,tmRNA,0.8937000921929824,0.6312321164912281,0.2624679757017543,0.1721177992090711
36856,tmRNA,0.8867883999082569,0.6411548013445378,0.24563359856371902,0.16076094868076155
36857,tmRNA,0.8923643817073171,0.7728177893333333,0.1195465923739838,0.0717919002815611
36860,tmRNA,0.9023138598113207,0.6305138501639344,0.2718000096473864,0.17731934768570573
36862,tmRNA,0.7795022487489174,2.2180748265435483e-08,0.7795022265681691,0.9999999430899714
36863,tmRNA,0.908503686930693,0.7513268076377952,0.1571768792928978,0.09469453646455604
36864,tmRNA,0.7918103302702703,0.5719389999145299,0.21987133035574036,0.16122561931960458
36867,tmRNA,0.9501972841803279,0.7472931032075472,0.20290418097278073,0.11953185860746633
36868,tmRNA,0.958166843539823,0.8354982900869565,0.12266855345286642,0.06838988568888073
36870,tmRNA,0.9221902192929293,0.731058905116279,0.1911313141766503,0.1156095057633564
36872,tmRNA,0.9206928856451613,0.5709765891346155,0.3497162965105458,0.2344462378719497
36873,tmRNA,0.8421294222764227,0.560671687904762,0.2814577343716608,0.20063980013197158
36874,tmRNA,0.8643952719491526,0.5870661259090909,0.27732914604006165,0.19106890920370653
36875,tmRNA,0.890518005123967,0.2540477903922687,0.6364702147316983,0.5560800586781732
36876,tmRNA,0.9108035657017544,0.6782820072807018,0.2325215584210526,0.14632412651299032
36881,tmRNA,0.9668653808547009,0.8895758894594594,0.07728949139524144,0.04163314651056102
36884,tmRNA,0.830156918440367,0.2745925624995372,0.5555643559408299,0.5028871844032586
36888,tmRNA,0.8891667673333334,0.6670806807407408,0.22208608659259266,0.14270615310401577
36891,tmRNA,0.9101626240707965,0.7589080698260869,0.15125455424470957,0.09062201786765911
36896,tmRNA,0.8768510486486487,0.6488700874358975,0.22798096121275124,0.14942505273133866
36897,tmRNA,0.9289519851694915,0.7731498399090908,0.1558021452604007,0.0915351496395979
36902,tmRNA,0.8978087084251969,0.6299598943564356,0.26784881406876127,0.17532027663160812
36911,tmRNA,0.817039445952381,0.4959961069607843,0.3210433389915967,0.24450468098850345
36913,tmRNA,0.7744763082456141,0.30923592979764913,0.46524037844796495,0.42930250496017003
36917,tmRNA,0.9156811687199999,0.6866625753398058,0.22901859338019415,0.14292725529663022
36918,tmRNA,0.8723767255555556,0.5723279759166666,0.30004874963888895,0.20768863653113684
36921,tmRNA,0.8958538418269231,0.6278970842741936,0.2679567575527295,0.17585338454123953
36922,tmRNA,0.9696303921008403,0.6604268423853211,0.3092035497155192,0.18968876869712406
36937,tmRNA,0.9220801429090909,0.7641580418644068,0.15792210104468407,0.09365349597150582
36954,tmRNA,0.8179438204854369,0.41333177256,0.4046120479254369,0.3286120915664945
36955,tmRNA,0.9275888823157894,0.8418834277443609,0.08570545457142853,0.048435600876125105
36957,tmRNA,0.8820229455371901,0.6294704089719626,0.25255253656522747,0.16708808928057922
36960,tmRNA,0.95889186125,0.8005925088709677,0.15829935237903237,0.08996917225706813
36975,tmRNA,0.9490616651260505,0.7361967300917431,0.21286493503430737,0.12630996863053623
36992,tmRNA,0.8127455344247788,0.5830249110434783,0.2297206233813005,0.1645833841282068
36994,tmRNA,0.9468601819298246,0.7173894594736843,0.2294707224561403,0.1378823926094532
36996,tmRNA,0.9390059791262136,0.6520843860800001,0.28692159304621356,0.18033016811652117
37000,tmRNA,0.9442200366346154,0.7938909949193549,0.15032904171526051,0.08648989563161438
37001,tmRNA,0.8763600370731707,0.6268901846666667,0.249469852406504,0.1659536441762647
37004,tmRNA,0.8927940727433629,0.6915864950434784,0.2012075776998845,0.12699447455414292
37005,tmRNA,0.8554634025925926,0.6789378970967742,0.17652550549581836,0.11504520071219648
37006,tmRNA,0.7508825067924528,0.5391568659836066,0.21172564080884626,0.1641233944303808
37007,tmRNA,0.9309564145762711,0.576159526,0.3547968885762711,0.23541446216845704
37010,tmRNA,0.9280201007142858,0.691555855862069,0.23646424485221673,0.14600380049607672
37011,tmRNA,0.928024680673077,0.7240101003225806,0.20401458035049636,0.12349290868291508
37012,tmRNA,0.9017745396825397,0.7044225709803922,0.19735196870214755,0.12286908461732551
37015,tmRNA,0.9354001208943089,0.7440300981904762,0.19137002270383274,0.11394937433489849
37017,tmRNA,0.9597507826126126,0.7487160605128206,0.21103472209979202,0.12352286668539002
37018,tmRNA,0.9401152492241379,0.8068673400892857,0.13324790913485218,0.07627317521648544
37021,tmRNA,0.9238718048148149,0.7443079376666667,0.1795638671481482,0.10764059925643267
37022,tmRNA,0.8776543646666667,0.7440375714814814,0.13361679318518527,0.08239344983274235
37024,tmRNA,0.8912994446551724,0.6719482108928572,0.21935123376231525,0.14031764767650778
37025,tmRNA,0.8227496935245902,0.42482821222016803,0.3979214813044221,0.31895521672201915
37031,tmRNA,0.9477315617857143,0.6245910369827585,0.32314052480295574,0.20551795481159954
37032,tmRNA,0.8809767377391304,0.7036300775221238,0.17734666021700662,0.1119184005199217
37033,tmRNA,0.9362371382568807,0.6756166621008404,0.26062047615604034,0.1616898977427112
